word,mean_RT_ms,mean_accuracy,length,log_frequency,AoA,OLD20,concreteness,contextual_diversity,OLD20F,orthographic_neighbourhood_n,mean_D_Zscore,n_rows,n_subjects
arc,601.25,0.97,3,2.394451681,9.418817,1.7,4.14,2.004321374,8.908,7,-0.573,4,4
arcade,849.5,0.97,6,2.049218023,7.79,2.25,4.74,1.857332496,7.461,1,-0.241,2,2
arch,594.0,0.94,4,2.276461804,8.26,1.8,4.59,2.071882007,8.763,3,-0.718,1,1
archaeological,1714.667,0.96,14,1.69019608,9.44,4.45,2.67,1.380211242,6.357,0,2.62,3,3
archaeologist,1328.0,0.94,13,1.763427994,9.68,4.8,4.45,1.51851394,5.207,0,1.936,2,2
archaeology,1117.0,0.94,11,1.602059991,10,4.65,3.08,1.361727836,6.68,0,1.127,3,3
archaic,1047.333,0.77,7,1.556302501,14.5,2.85,2.23,1.544068044,6.404,0,0.617,3,3
archangel,1499.5,0.69,9,1.361727836,11.53,3.15,2.93,1.255272505,7.332,0,0.914,2,2
archbishop,741.0,0.87,10,2.276461804,10.45,5.3,4.14,1.591064607,6.06,0,-0.04,1,1
archdeacon,774.0,0.37,10,0.84509804,15.23,4.95,4,0.698970004,6.415,0,0.797,1,1
archduke,905.0,0.67,8,1.672097858,11.59,3.85,3.93,1.113943352,6.662,0,-0.083,1,1
arched,537.0,0.97,6,1,9.89,1.75,3.82,1,6.838,2,-0.446,2,2
archenemy,1993.0,0.39,9,1.146128036,11.28,3.9,3.11,0.903089987,6.229,0,3.06,1,1
archer,787.0,0.94,6,2.445604203,9.226991,1.8,3.9,1.748188027,6.348,2,-0.238,1,1
archery,799.5,0.94,7,1.612783857,9.06,2.5,3.93,1.361727836,6.093,1,-0.247,2,2
archetype,904.0,0.7,9,0.84509804,13.87,4.05,,0.77815125,6.203,0,-0.208,1,1
archipelago,875.0,0.48,11,0.903089987,13.18,5.6,3.96,0.77815125,6.311,0,1.034,2,2
architect,861.0,0.97,9,2.525044807,10.12,3.75,3.74,2.230448921,6.824,0,0.05,3,3
architectonic,1337.0,0.24,13,0.301029996,14.14,5.9,,0.301029996,6.491,0,5.042,2,2
architectural,1267.667,0.91,13,1.819543936,12.25,5.35,3.14,1.716003344,6.255,0,1.283,3,3
architecture,995.0,0.97,12,2.212187604,10.06,4.9,3.59,2.079181246,6.613,0,0.61,1,1
archives,580.0,0.97,8,2.113943352,10.878826,2.8,3.93,1.913813852,6.819,0,-0.039,1,1
archway,1052.667,0.88,7,1.113943352,10.06,2.9,4.28,0.84509804,7.088,0,0.387,3,3
ardent,646.5,0.65,6,1.491361694,13.27,2,1.64,1.462397998,7.577,1,-0.049,2,2
ardor,818.0,0.5,5,0.903089987,13.82,1.9,,0.903089987,7.598,2,-0.394,1,1
area,653.333,0.94,4,3.582290683,6.58,1.7,3.72,3.334453751,8.285,3,-0.497,3,3
arena,587.0,1,5,2.269512944,9.57,1.9,4.83,2.068185862,7.753,1,-0.744,2,2
argon,922.0,0.91,5,1,15.19,1.9,3.2,0.903089987,7.815,3,0.573,2,2
argue,738.333,0.97,5,3.003460532,4.61,1.9,2.75,2.911157609,7.57,1,-0.526,3,3
argument,602.0,1,8,2.938519725,7.55,2.8,2.85,2.846955325,7.285,0,-0.557,2,2
argumentative,1467.0,0.87,13,1.591064607,11.5,5.1,2.36,1.505149978,6.125,0,1.629,2,2
aria,542.0,0.39,4,1.556302501,13.75,1.8,,1.361727836,8.146,5,-0.471,1,1
arid,725.5,0.76,4,1.230448921,11.38,1.6,2.96,1.230448921,8.636,6,-0.493,2,2
arise,647.0,0.91,5,2.181843588,6.89,1.8,3.17,2.049218023,7.686,3,-0.561,1,1
aristocracy,1578.0,0.97,11,1.51851394,11,4.45,2.97,1.447158031,6.241,0,1.221,2,2
aristocrat,1215.333,1,10,1.84509804,11.88,4.2,3.76,1.62324929,6.243,0,0.863,3,3
aristocratic,1100.667,0.91,12,1.579783597,12.06,4.4,2.42,1.491361694,6.014,0,0.778,3,3
arithmetic,1086.5,1,10,1.897627091,7.16,3.6,2.74,1.819543936,6.302,0,0.222,2,2
arithmetical,921.5,0.87,12,0.477121255,11,4.7,,0.477121255,5.904,0,1.014,2,2
ark,630.0,0.79,3,2.301029996,7.17,1.4,4.67,1.919078092,8.811,8,-0.328,1,1
arm,594.0,1,3,3.523356207,3.26,1.45,4.96,3.289142836,8.723,7,-0.761,3,3
armada,1311.0,0.59,6,1.748188027,13.53,2.85,4.04,1.556302501,7.822,1,2.814,1,1
armadillo,1420.75,0.93,9,2.190331698,8.608885,4.6,4.9,1.342422681,6.908,0,1.651,4,4
armament,895.0,0.33,8,1.414973348,13.73,2.7,,1.361727836,7.008,0,-0.494,1,1
armband,700.0,0.97,7,1.176091259,10,2.9,4.67,1,6.752,0,-0.087,1,1
armchair,775.0,0.94,8,1.342422681,6.56,3.5,5,1.301029996,6.303,0,-0.285,2,2
armed,548.0,1,5,3.066325925,8.72,1.8,3.6,2.907411361,7.374,2,-0.986,2,2
armful,634.667,0.97,6,1.113943352,9.61,2.65,3.43,1.079181246,6.17,1,-0.809,3,3
armistice,871.333,0.76,9,1.322219295,14,3.7,,1.230448921,6.669,0,0.793,3,3
armload,586.5,0.91,7,0.698970004,9,2.9,3.54,0.698970004,7.12,0,-0.96,2,2
armoire,899.5,0.59,7,0.954242509,12.37,2.75,4.52,0.954242509,6.57,0,0.526,2,2
armor,536.0,0.94,5,2.571708832,7.17,1.85,4.76,2.29666519,7.765,2,-0.495,3,3
armored,633.2,0.97,7,2.222716471,9.5,2.55,3.59,1.949390007,6.42,0,-0.282,5,5
armory,1479.0,0.8,6,1.982271233,11,2.35,4.36,1.763427994,7.244,0,1.081,3,3
armpit,1421.333,0.91,6,1.812913357,6,2.85,4.8,1.681241237,7.245,0,0.501,3,3
arms,554.333,1,4,3.484442208,3.738636,1.55,4.97,3.275080898,7.969,7,-0.956,3,3
army,565.0,0.97,4,3.640580806,7.15,1.8,4.7,3.178113252,8.38,2,-0.823,2,2
aroma,663.0,0.91,5,1.84509804,9.47,1.95,3.67,1.812913357,8.469,0,-0.59,1,1
aromatic,808.0,0.91,8,1.176091259,11.05,2.6,3.04,1.079181246,6.202,0,-0.076,3,3
around,607.667,1,6,4.574887431,5.944635,1.8,1.96,3.87875152,8.134,3,-0.556,3,3
arousal,761.0,0.94,7,1.301029996,12.94,2.8,2.83,1.204119983,6.391,0,-0.911,2,2
arouse,761.5,0.97,6,1.799340549,12.63,1.7,2.85,1.785329835,7.213,1,-0.237,4,4
arpeggio,1400.0,0.21,8,0.301029996,13.85,4.25,,0.301029996,6.951,0,1.609,2,2
arraign,1057.0,0.51,7,0.903089987,12.38,2.9,2.42,0.903089987,7.732,0,1.897,1,1
arrange,1112.333,0.97,7,2.898725182,8.28,2.3,2.79,2.818225894,6.765,0,-0.127,3,3
arrangement,770.0,0.97,11,2.683947131,9.89,3.35,2.3,2.587710965,6.414,0,-0.55,1,1
arrant,394.0,0.35,6,0.77815125,11.5,1.9,,0.698970004,7.081,1,-0.715,1,1
array,678.0,0.94,5,2.037426498,10.79,2,2.54,1.69019608,7.871,1,-0.641,1,1
arrears,1824.0,0.42,7,1,16.62,2.85,,1,7.577,0,2.892,2,2
arrest,561.0,1,6,3.48258777,7.47,1.95,3.93,3.228400359,7.078,0,-0.728,2,2
arrival,667.0,0.94,7,2.626340367,8.06,2.6,3.07,2.550228353,7.5,0,0.64,1,1
arrive,806.0,0.94,6,2.979548375,6.26,2.4,3.22,2.860936621,7.373,1,0.651,1,1
arrogance,791.5,0.97,9,2.161368002,11.72,3.55,1.74,2.11058971,6.631,0,0.051,2,2
arrogant,879.5,0.94,8,2.426511261,9.95,3.35,2.07,2.371067862,6.695,0,-0.004,2,2
arrow,522.5,0.97,5,2.603144373,6.07,1.7,4.97,2.29666519,7.005,0,-0.694,2,2
arrowroot,1268.0,0.32,9,0.301029996,12,4.4,,0.301029996,5.577,0,1.244,1,1
arsenal,933.75,1,7,2.012837225,11.79,2.75,3.86,1.919078092,7.22,0,0.112,4,4
arsenic,1140.0,0.97,7,1.806179974,11.83,2.95,4.29,1.505149978,6.636,0,0.622,1,1
arson,655.0,0.91,5,2.187520721,11.2,1.9,3.66,1.954242509,8.055,2,-0.378,2,2
art,511.0,0.91,3,3.557747742,6.21,1.1,4.17,3.204662512,8.925,11,-0.934,3,3
arteriosclerosis,1210.0,0.4,16,0.301029996,16.6,7.417,,0.301029996,4.013,0,0.796,1,1
artery,1021.333,0.85,6,2.434568904,13.06,2.2,4.48,2.260071388,7.18,0,0.298,3,3
artful,776.667,0.89,6,1,9.56,2.5,2.42,0.954242509,6.415,1,-0.332,3,3
arthritic,744.0,0.68,9,1.146128036,12.3,3.5,3.35,1.146128036,6.954,1,0.593,1,1
arthritis,1229.0,1,9,2,11.67,3.75,3.5,1.903089987,6.749,1,1.522,3,3
artichoke,870.667,0.82,9,1.462397998,10,4.25,4.63,1.380211242,6.809,0,0.176,3,3
article,602.667,1,7,2.999565488,8.61,2.65,4.33,2.743509765,7.283,0,-0.702,3,3
articulate,1024.5,1,10,1.934498451,13,3.05,2.2,1.86923172,5.962,0,0.326,2,2
articulation,778.5,0.97,12,0.954242509,12.63,3.4,2.65,0.903089987,5.95,0,0.378,2,2
artifact,976.25,1,8,1.755874856,10.33,3.65,4.5,1.491361694,7.03,0,0.719,4,4
artificial,825.0,0.94,10,2.392696953,10.16,4.05,2.93,2.269512944,7.278,0,0.057,4,4
artillery,810.0,0.94,9,2.44870632,10.68,3.6,4.31,2.225309282,5.956,0,0.221,1,1
artisan,705.0,0.85,7,0.77815125,12.95,2.5,3.03,0.77815125,7.622,0,0.443,1,1
artist,713.5,1,6,3.164650216,6.78,2.1,4.24,2.889861721,7.234,0,-0.421,2,2
artistic,1013.333,0.94,8,2.401400541,9.17,2.6,2.14,2.281033367,6.472,1,-0.103,3,3
artistry,726.75,0.88,8,1.397940009,10.58,2.9,2,1.361727836,6.543,0,0.048,4,4
artless,1341.0,0.91,7,0.602059991,13.82,2.3,1.89,0.602059991,6.25,1,1.047,1,1
arts,649.0,0.94,4,2.673020907,5.965949,1.45,3.75,2.515873844,8.207,8,-0.546,2,2
arty,1346.0,0.47,4,1.748188027,9.57,1.7,,1.447158031,8.162,4,0.508,1,1
as,706.0,0.94,2,5.053343551,6.10449,1.1,1.33,3.915927212,9.172,16,0.124,2,2
ascend,853.0,0.88,6,1.681241237,10.67,2.15,2.66,1.531478917,7.601,1,-0.248,2,2
ascendancy,741.0,0.74,10,0.84509804,16,4,,0.84509804,6.678,0,0.593,1,1
ascending,928.667,1,9,1.556302501,10.84,2.65,2.66,1.505149978,6.893,0,0.042,3,3
ascension,1077.0,0.67,9,1.653212514,12.71,3.05,2.37,1.462397998,7.153,0,1.394,1,1
ascent,1014.0,0.82,6,1.230448921,10.74,1.8,2.61,1.176091259,8.218,3,1.207,2,2
ascertain,849.0,0.94,9,1.698970004,12.68,3.3,2.11,1.653212514,6.656,0,0.157,3,3
ascertainable,2180.0,0.76,13,0.301029996,15.6,5.2,1.65,0.301029996,5.49,0,2.03,2,2
ascetic,885.0,0.72,7,0.77815125,14.43,2.75,,0.602059991,6.533,0,0.04,3,3
ascribe,982.667,0.88,7,0.77815125,15.28,2.55,2.44,0.698970004,7.066,0,-0.002,3,3
aseptic,1239.5,0.6,7,0.477121255,14.07,2.7,2.07,0.477121255,5.896,0,0.52,2,2
asexual,871.0,0.85,7,1.079181246,16,2.85,2.43,1,8.132,0,0.232,2,2
ash,764.5,1,3,2.672097858,6.626683,1.15,4.96,2.158362492,8.933,6,-0.301,2,2
ashen,755.75,0.69,5,1,12.5,1.9,3.12,0.602059991,7.367,3,-0.117,4,4
ashes,819.0,0.94,5,2.702430536,7.06362,1.65,4.92,2.485721426,6.991,4,0.185,3,3
ashore,1411.0,0.85,6,2.50242712,9.067136,1.95,3.42,2.227886705,7.317,0,1.564,1,1
ashtray,1063.5,0.94,7,2.222716471,5.95,2.7,4.97,2.071882007,6.622,0,-0.144,2,2
ashy,1342.5,0.85,4,1,8.61,1.9,3.32,0.954242509,8.018,0,1.345,2,2
aside,912.0,1,5,3.083860801,7.894866,1.8,2.21,2.991669007,7.834,2,-0.444,2,2
ask,496.0,0.94,3,4.391658329,2.89,1.5,2.52,3.846027675,9.058,6,-0.96,2,2
askew,603.0,0.58,5,1.176091259,11,1.9,3.04,1.113943352,7.425,1,0.14,1,1
asleep,631.0,1,6,3.405175546,4.47,2.45,3.71,3.231979027,7.591,0,-0.371,3,3
asparagus,921.5,0.97,9,1.707570176,6.79,3.9,4.96,1.633468456,6.247,0,-0.242,4,4
aspect,670.2,0.91,6,2.29666519,10.35,2.15,1.82,2.235528447,7.934,0,-0.366,5,5
aspen,978.0,0.91,5,1.986771734,10.036923,1.95,4.59,1.681241237,8.127,1,-0.167,2,2
asphalt,589.0,0.97,7,1.698970004,8.89,3,4.83,1.591064607,7.755,0,-0.458,2,2
asphyxiate,1343.0,0.59,10,0.954242509,13.06,4.7,3.74,0.954242509,6.223,0,1.109,1,1
asphyxiation,1316.75,0.56,12,1.568201724,15.12,4.7,3.63,1.556302501,6.149,0,1.021,4,4
aspirate,1648.0,0.88,8,1.041392685,14.41,2.9,3.3,1,6.333,0,2.585,1,1
aspiration,707.0,0.91,10,1.477121255,11.47,2.7,1.81,1.447158031,6.356,0,-0.024,2,2
aspire,923.667,0.94,6,1.748188027,11.83,1.85,1.53,1.740362689,6.989,0,0.129,3,3
aspirin,722.0,0.97,7,2.597695186,7.95,2.7,4.76,2.46834733,6.198,0,-0.429,2,2
aspiring,562.333,1,8,1.51851394,11,2.65,1.87,1.491361694,6.761,1,-0.579,3,3
ass,668.0,1,3,4.062431553,7.84,1.45,4.67,3.5289167,8.5,7,-0.597,2,2
assail,1643.0,0.66,6,0.77815125,12.24,2.55,2.68,0.77815125,6.922,0,1.1,1,1
assailant,815.0,0.91,9,1.880813592,12.44,3.45,3.96,1.799340549,6.01,0,-0.01,2,2
assassin,841.0,0.94,8,2.481442629,11.28,3.25,4.43,2.276461804,6.707,0,0.409,1,1
assassinate,1041.5,0.91,11,1.986771734,10.11,4.1,3,1.86923172,5.569,0,1.998,4,4
assassination,822.5,0.94,13,2.450249108,9.05,4.6,3.8,2.247973266,5.996,0,0.231,2,2
assault,848.333,0.94,7,2.952792443,10.21,2.8,3.41,2.772321707,7.171,0,-0.189,3,3
assay,1304.0,0.44,5,0.954242509,15,1.95,,0.903089987,7.424,3,1.997,1,1
assemblage,561.0,0.58,10,0.84509804,14.29,3.65,3,0.84509804,6.216,0,0.032,1,1
assemble,564.5,0.97,8,2.214843848,8.72,2.5,3.67,2.11058971,6.45,1,-0.795,2,2
assembly,572.0,0.97,8,2.390935107,6.94,3.15,3.79,2.222716471,5.889,1,-0.736,1,1
assemblyman,920.0,0.75,11,1.579783597,12.89,5.2,3.74,1.079181246,5.639,1,0.476,2,2
assent,707.667,0.88,6,0.698970004,11.29,1.8,2.64,0.698970004,7.44,3,-0.341,3,3
assert,623.0,0.94,6,1.643452676,10.83,1.8,2.03,1.591064607,7.606,2,-0.587,1,1
assertion,766.0,0.94,9,1.176091259,12.24,2.7,2.2,1.176091259,7.084,0,-0.282,2,2
assertive,949.667,0.97,9,1.380211242,10.44,3.25,2.07,1.278753601,6.722,0,1.034,3,3
assertiveness,1397.5,0.97,13,1,11.35,4.75,2.1,1,4.64,0,0.901,2,2
assess,877.5,0.94,6,1.924279286,11.37,1.9,2.26,1.903089987,7.146,1,0.957,2,2
assessment,572.25,0.97,10,2.201397124,11.95,3.65,2.11,2.123851641,6.797,0,-0.502,4,4
assessor,1291.25,0.75,8,1.079181246,14.79,3,2.96,1,7.18,0,0.422,4,4
asset,1161.667,0.94,5,2.28780173,11.79,1.75,2.92,2.176091259,7.163,2,0.56,3,3
asshole,802.0,0.94,7,3.497344381,9.52,2.9,4.08,3.105169428,6.54,0,-0.552,2,2
assign,649.667,0.97,6,2.1430148,8.56,2.35,2.86,2.086359831,7.363,0,-0.556,3,3
assignation,828.0,0.7,11,1.079181246,12.93,3.3,,1,6.656,0,-0.067,1,1
assignment,657.5,0.94,10,2.960470778,7,3.35,3.86,2.783188691,6.257,0,-0.341,2,2
assimilate,660.25,0.91,10,1.431363764,12.95,3.55,2.17,1.278753601,6.71,0,-0.047,4,4
assimilation,1014.333,0.94,12,1.041392685,15.07,3.55,2.03,1.041392685,6.865,0,0.552,3,3
assist,657.0,0.97,6,2.603144373,8.75,2.25,2.52,2.537819095,7.324,0,-0.314,2,2
assistance,559.0,0.97,10,2.747411808,8.84,3.25,2.25,2.651278014,6.965,0,-0.238,1,1
assistant,807.667,0.97,9,3.215901813,8.61,3.2,4.07,2.990338855,6.808,0,-0.273,3,3
associate,546.333,0.97,9,2.661812686,10.83,3.2,3.41,2.575187845,6.124,0,-0.797,3,3
association,611.667,0.97,11,2.618048097,10.76,3.3,2.3,2.491361694,6.324,0,-0.566,3,3
assorted,561.333,1,8,1.698970004,9.32,2.4,3.15,1.633468456,6.417,1,-0.48,3,3
assortment,1149.333,0.97,10,1.579783597,8.72,3.6,2.5,1.544068044,6.164,0,0.877,3,3
assuage,991.5,0.61,7,0.84509804,15.18,2.7,,0.77815125,7.42,0,-0.136,2,2
assume,697.0,0.94,6,3.232487866,8.21,2.4,1.75,3.116275588,7.498,1,-0.7,1,1
assumption,834.0,0.91,10,2.23299611,10.2,3.45,1.84,2.181843588,6.634,0,0.23,3,3
assurance,695.0,0.94,9,2.021189299,12.33,3.1,1.76,1.944482672,6.977,0,-0.424,1,1
asterisk,1182.5,0.88,8,1.380211242,11.94,2.85,4,0.903089987,6.112,0,1.08,2,2
asteroid,1437.0,1,8,1.939519253,8.6,3.1,4.86,1.643452676,6.386,0,1.018,2,2
asthma,662.333,1,6,2.29666519,10.39,3,3.71,2.100370545,7.072,0,-0.444,3,3
asthmatic,913.0,0.6,9,1.322219295,8.72,3.1,2.96,1.230448921,6.628,0,0.434,2,2
astonish,689.0,0.94,8,1.380211242,12.21,3.35,1.7,1.361727836,6.125,0,0.091,2,2
astonished,880.0,0.94,10,1.69019608,10.58,3.65,2.15,1.62324929,6.315,1,0.499,3,3
astonishing,1018.0,1,11,1.944482672,9.11,3.8,1.68,1.892094603,6.285,0,0.322,2,2
astonishment,940.0,0.94,12,1.176091259,10.11,4.45,2.92,1.176091259,6.248,0,-0.284,1,1
astound,1070.0,0.88,7,1.361727836,12.41,2.7,1.93,1.301029996,7.53,0,0.181,2,2
astounded,785.75,0.91,9,1.113943352,11.4,2.85,1.71,1.113943352,6.605,0,0.113,4,4
astral,726.0,0.45,6,1.698970004,13.2,2.4,2.26,1.431363764,7.214,1,0.381,1,1
astray,756.0,0.85,6,1.886490725,10.303348,2.15,,1.785329835,7.098,1,0.37,3,3
astringent,617.0,0.79,10,0.84509804,13.89,3.3,3.21,0.84509804,5.992,0,-0.27,1,1
astrodome,1157.0,0.71,9,0.77815125,12.69,3.5,,0.602059991,5.531,0,0.789,2,2
astrology,683.333,1,9,1.681241237,9.53,3.2,2.48,1.591064607,6.641,0,-0.54,3,3
astronaut,850.5,0.94,9,2.307496038,6.28,3.75,4.75,2,6.465,0,0.396,4,4
astronomer,864.0,0.97,10,1.568201724,9.85,3.6,4.27,1.477121255,5.925,0,0.237,2,2
astronomical,908.0,0.93,12,1.579783597,12.5,4.45,2.92,1.531478917,5.215,0,0.667,1,1
astronomy,499.0,1,9,1.832508913,9,3.15,3.03,1.653212514,6.166,0,-0.832,3,3
astrophysics,1417.0,0.82,12,1.278753601,13.3,5.45,3,1.255272505,5.737,0,1.58,1,1
astute,1383.0,0.76,6,1.716003344,14.69,2.65,1.85,1.698970004,7.597,0,1.695,2,2
astuteness,1243.0,0.42,10,0.301029996,13,3.75,,0.301029996,4.981,0,0.839,1,1
asylum,835.333,0.88,6,2.371067862,13.1,2.85,4.41,2.214843848,7.033,0,0.264,3,3
asymmetric,652.0,0.91,10,0.477121255,12.28,3.8,3.5,0.477121255,6.061,0,-0.136,1,1
asymmetrical,1231.0,0.94,12,0.84509804,12.11,4.15,3.21,0.84509804,6.118,0,1.862,2,2
asymmetry,1277.5,0.88,9,0.602059991,11.68,4.2,2.89,0.602059991,6.61,0,2.761,2,2
at,877.0,0.91,2,5.215037119,4.037032,1,2.07,3.921530414,10.301,15,0.118,2,2
atheist,852.0,0.84,7,1.748188027,12.18,2.45,2.93,1.672097858,7.335,1,0.065,3,3
atheistic,1270.0,1,9,0.477121255,15.4,3.1,1.67,0.477121255,6.56,0,0.97,3,3
athlete,646.5,0.91,7,2.372912003,7.11,2.85,4.3,2.278753601,7.473,0,-0.521,4,4
athletic,509.0,1,8,2.29666519,8.55,2.75,2.69,2.187520721,6.36,0,-0.595,1,1
athleticism,1283.0,0.84,11,1.079181246,10.05,4.4,1.97,1,5.826,0,2.377,1,1
athletics,510.5,1,9,1.51851394,8.35,3.45,3.65,1.322219295,6.746,0,-0.884,2,2
atlas,756.333,1,5,1.72427587,7.9,2.25,4.79,1.556302501,7.582,0,-0.694,3,3
atmosphere,1005.667,1,10,2.693726949,9.79,4.15,3.04,2.559906625,6.618,0,0.124,3,3
atmospheric,825.0,0.94,11,1.681241237,10.11,5.05,2.9,1.612783857,6.01,0,0.189,3,3
atoll,962.0,0.23,5,1.447158031,14.65,1.95,,0.903089987,8.079,1,1.923,1,1
atom,582.0,0.97,4,2.149219113,9.68,1.85,3.34,1.968482949,8.741,1,-0.635,3,3
atomic,547.0,0.97,6,2.397940009,10.16,2.25,2.93,2.187520721,6.575,1,-0.58,2,2
atomize,752.5,0.94,7,0.602059991,13.24,2.8,2.24,0.602059991,5.052,0,-0.154,2,2
atrocity,1079.5,0.78,8,1.51851394,13.39,3.4,2.15,1.477121255,6.698,0,0.183,2,2
atrophy,1537.0,0.87,7,1.342422681,15.5,3.15,2.86,1.278753601,7.017,0,1.747,5,5
attach,728.25,0.94,6,2.103803721,6.39,2.4,3.33,2.06069784,7.41,1,-0.587,4,4
attachment,600.0,0.97,10,1.77815125,10.11,3.4,3.04,1.755874856,6.782,0,-0.577,3,3
attack,520.5,1,6,3.58591171,6.58,2.3,3.71,3.291812687,7.582,1,-0.811,2,2
attacker,699.0,1,8,1.86923172,6.5,2.5,4.04,1.785329835,7.083,1,-0.803,1,1
attain,1061.0,0.97,6,1.681241237,10.84,2.1,2.18,1.602059991,7.676,0,0.299,2,2
attainable,732.0,0.91,10,0.903089987,9.45,3.7,2.19,0.903089987,5.475,0,0.24,2,2
attainment,717.0,0.94,10,0.602059991,13.8,3.45,2.13,0.602059991,5.882,0,0.116,2,2
attempt,547.0,1,7,2.989449818,7.7,2.8,2.22,2.876794976,7.389,0,-0.767,3,3
attempted,585.5,1,9,2.59439255,8.7,3.3,2,2.51054501,6.864,0,-0.64,2,2
attend,383.0,0.97,6,2.854913022,7.72,1.95,3.17,2.772321707,7.227,0,-1.322,1,1
attendance,1017.5,1,10,2.133538908,7.11,3.55,3.07,2.056904851,6.16,0,0.517,2,2
attendant,1549.0,0.94,9,2.201397124,9.79,3.05,4.44,2.079181246,6.664,0,1.01,1,1
attention,668.333,1,9,3.70182693,6.78,2.55,2.3,3.477265995,7.312,0,-0.798,3,3
attentive,668.5,1,9,1.826074803,9.37,2.9,1.78,1.806179974,7.133,0,-0.632,2,2
attest,572.333,0.72,6,1.361727836,14,2.3,1.89,1.322219295,7.469,1,-0.64,3,3
attire,1414.667,0.94,6,1.886490725,11.22,2.4,4.47,1.799340549,7.413,0,0.986,3,3
attitude,637.667,1,8,3.124178055,6.78,2.6,1.97,3.007320953,6.394,2,-0.645,3,3
attorney,252.5,1,8,3.314077992,10.95,3.35,4.52,2.968949681,6.936,1,-1.496,2,2
attract,1024.333,0.97,7,2.463892989,8.78,2.45,2.73,2.385606274,7.338,0,0.431,3,3
attraction,711.333,1,10,2.542825427,9.61,2.5,2.24,2.421603927,6.819,0,-0.362,3,3
attractive,734.0,0.97,10,3.099335278,8.58,3,2.64,2.945468585,6.555,0,-0.433,2,2
attributable,1284.0,0.86,12,0.77815125,14.69,4.65,1.81,0.77815125,5.955,0,1.407,1,1
attribute,705.667,1,9,1.662757832,12.67,3.2,2.33,1.643452676,6.705,0,-0.139,3,3
attribution,569.0,0.94,11,0.698970004,11.14,3.4,2.04,0.698970004,7.031,0,-0.79,2,2
attrition,1112.0,0.57,9,1,14.07,2.8,,0.903089987,6.921,0,1.25,1,1
atypical,793.5,0.82,8,1.301029996,12.94,3.4,1.93,1.041392685,7.392,0,0.407,2,2
auburn,1128.0,0.94,6,1.477121255,10.68,2.75,3.72,1.278753601,7.192,0,1.269,3,3
auction,730.0,0.91,7,2.658011397,10.67,2.1,3.93,2.309630167,7.778,2,-0.311,1,1
auctioneer,1000.25,0.97,10,1.397940009,9.16,4.25,4.55,1.278753601,6.837,0,0.301,4,4
audacity,1345.75,0.89,8,1.69019608,13,3.15,1.62,1.681241237,6.51,0,1.38,4,4
audible,569.0,0.94,7,1.568201724,11.05,2.75,3.23,1.447158031,6.578,1,-0.75,1,1
audience,560.0,1,8,3.112269768,7,3,4.29,2.880241776,6.716,0,-0.868,2,2
audio,594.5,0.94,5,2.45484486,9.32,2.4,3.5,2.276461804,7.542,1,-0.869,2,2
audiovisual,1012.5,0.83,11,1.079181246,11.44,5.55,2.97,0.903089987,7.185,0,1.129,2,2
audition,1176.5,0.97,8,2.848804701,8.36,2.25,3.66,2.488550717,7.818,1,0.387,2,2
auditor,1048.5,0.97,7,1.397940009,14.74,2.45,3.38,1.204119983,7.353,0,-0.043,4,4
auditorium,662.0,0.94,10,1.908485019,6.94,4.35,4.7,1.838849091,6.669,0,-0.656,1,1
auditory,727.667,0.94,8,1.447158031,12.79,2.85,3.07,1.414973348,6.756,1,0.217,3,3
augment,941.5,0.77,7,1.301029996,14,2.5,2.81,1.176091259,6.906,0,0.595,4,4
augmentation,978.333,0.88,12,1,14.17,3.5,2.74,1,5.89,0,0.459,3,3
aunt,553.667,1,4,3.44963265,3.8,1.45,4.17,2.980003372,8.273,6,-0.919,3,3
auntie,861.0,0.85,6,2.604226053,4.74,2.3,4.48,2.257678575,6.936,0,-0.192,1,1
aura,716.75,0.91,4,1.973127854,11.67,1.9,2.67,1.792391689,7.83,3,-0.242,4,4
aureole,1570.0,0.24,7,0.477121255,14.31,2.85,,0.477121255,6.753,1,1.436,1,1
aurora,880.75,0.85,6,2.100370545,12.701173,2.65,3.48,1.62324929,7.212,0,0.201,4,4
auspices,2495.0,0.66,8,0.84509804,14.885858,2.85,1.86,0.84509804,6.648,0,3.841,1,1
auspicious,1073.0,0.66,10,1.431363764,13.93,3.1,1.96,1.397940009,5.859,1,-0.134,2,2
austere,393.0,0.48,7,1.079181246,13.77,2.5,1.96,1.041392685,6.782,0,-0.846,1,1
austerity,1149.5,0.53,9,0.77815125,16.79,3.4,1.38,0.77815125,6.304,0,1.089,2,2
authentic,1268.5,1,9,2.36361198,8.42,3.25,2.31,2.247973266,6.086,0,1.193,2,2
authenticate,1498.8,0.94,12,1.505149978,12.42,4.35,2.28,1.361727836,5.981,0,1.567,5,5
authentication,976.0,0.87,14,1.176091259,12.56,4.6,2,1.079181246,6.286,0,0.552,3,3
authenticator,2029.0,0.62,13,0.84509804,13.72,4.95,3.11,0.477121255,6.29,0,3.446,1,1
authenticity,1097.0,0.94,12,1.77815125,12.11,4.65,1.74,1.698970004,6.264,0,0.775,4,4
author,629.333,1,6,2.608526034,7.1,2.4,4.26,2.401400541,7.523,0,-0.83,3,3
authoritarian,748.0,0.91,13,0.602059991,12.95,4.9,2.08,0.602059991,6.795,0,-0.461,1,1
